债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间
113516,苏农转债,2018-08-02,754323,100.0,603323,苏农银行,5.23,5.37,97.3929,118.78,21.96,2018-08-01,1.726,25.0,2018-08-06,0.50867203,2018-08-20
128043,东音转债,2018-08-02,072793,100.0,002793,罗欣药业,,,,,,2018-08-01,1.4066,2.8132,2018-08-06,0.2131737173,2018-08-27
128042,凯中转债,2018-07-30,072823,100.0,002823,凯中精密,9.26,12.86,72.0062,109.502,52.07,2018-07-27,1.4274,4.16,2018-08-01,0.1981213289,2018-09-03
123014,凯发转债,2018-07-27,370407,100.0,300407,凯发电气,7.86,8.05,97.6398,132.0,35.19,2018-07-26,1.2659,3.498948,2018-07-31,0.4544232201,2018-08-21
113515,高能转债,2018-07-26,754588,100.0,603588,高能环境,,,,,,2018-07-25,1.268,8.4,2018-07-30,0.33663516,2018-08-27
123013,横河转债,2018-07-26,370539,100.0,300539,横河精密,6.94,9.04,76.7699,312.149,306.6,2018-07-25,0.6698,1.4,2018-07-30,0.1497632298,2018-08-20
113514,威帝转债,2018-07-20,754023,100.0,603023,威帝股份,,,,,,2018-07-19,0.555,2.0,2018-07-24,0.28316098,2018-08-13
123012,万顺转债,2018-07-20,370057,100.0,300057,万顺新材,8.16,5.27,154.8387,166.28,7.39,2018-07-19,2.1607,9.5,2018-07-24,1.7253346677,2018-08-29
123011,德尔转债,2018-07-18,370473,100.0,300473,德尔股份,20.26,31.38,64.5634,111.7,73.01,2018-07-17,5.3822,5.647066,2018-07-20,0.3253360078,2018-08-14
128041,盛路转债,2018-07-17,072446,100.0,002446,盛路通信,5.34,6.82,78.2991,282.8,261.18,2018-07-16,1.3121,10.0,2018-07-19,0.6087166663,2018-08-14
110045,海澜转债,2018-07-13,733398,100.0,600398,海澜之家,6.56,7.04,93.1818,114.05,22.4,2018-07-12,0.667,30.0,2018-07-17,1.01983687,2018-07-31
113513,安井转债,2018-07-12,754345,100.0,603345,安井食品,,,,,,2018-07-11,2.314,5.0,2018-07-16,0.11499054,2018-07-31
113512,景旺转债,2018-07-06,754228,100.0,603228,景旺电子,,,,,,2018-07-05,2.397,9.78,2018-07-10,0.2089026,2018-07-24
123010,博世转债,2018-07-05,370422,100.0,300422,博世科,8.2,11.26,72.8242,106.334,46.01,2018-07-04,1.2084,4.3,2018-07-09,0.3606992578,2018-08-14
127007,湖广转债,2018-06-28,070665,100.0,000665,湖北广电,3.23,5.58,57.8853,101.752,75.78,2018-06-27,2.7248,17.33592,2018-07-02,1.0127940397,2018-08-01
110044,广电转债,2018-06-27,733831,100.0,600831,广电网络,5.17,6.87,75.2547,207.86,176.21,2018-06-26,1.322,8.0,2018-06-29,0.33996425,2018-07-24
113511,千禾转债,2018-06-20,754027,100.0,603027,千禾味业,,,,,,2018-06-19,1.092,3.56,2018-06-22,0.14273811,2018-07-10
113510,再升转债,2018-06-19,754601,100.0,603601,再升科技,,,,,,2018-06-15,0.21,1.14,2018-06-21,0.06305227,2018-07-13
128040,华通转债,2018-06-14,072758,100.0,002758,浙农股份,10.17,10.15,100.197,119.96,19.72,2018-06-13,1.0666,2.24,2018-06-19,0.0430924584,2018-07-13
128039,三力转债,2018-06-08,072224,100.0,002224,三力士,4.79,5.79,82.7288,111.33,34.57,2018-06-07,0.9421,6.2,2018-06-12,0.1334178334,2018-06-29
113509,新泉转债,2018-06-04,754179,100.0,603179,新泉股份,,,,,,2018-06-01,1.98,4.5,2018-06-06,0.03063662,2018-06-22
113508,新凤转债,2018-04-26,754225,100.0,603225,新凤鸣,,,,,,2018-04-25,2.554,21.53,2018-05-02,0.23361055,2018-05-16
113507,天马转债,2018-04-17,754668,100.0,603668,天马科技,,,,,,2018-04-16,1.027,3.05,2018-04-19,0.0297476,2018-05-07
113506,鼎信转债,2018-04-16,754421,100.0,603421,鼎信通讯,,,,,,2018-04-13,1.354,6.0,2018-04-18,0.0720467,2018-05-14
128038,利欧转债,2018-03-22,072131,100.0,002131,利欧股份,,,,,,2018-03-21,0.3932,21.975475,2018-03-26,0.2701763885,2018-04-19
128037,岩土转债,2018-03-15,072542,100.0,002542,中化岩土,2.66,3.1,85.8065,108.0,25.86,2018-03-14,0.3333,6.0366,2018-03-19,0.0901341006,2018-04-25
127006,敖东转债,2018-03-13,070623,100.0,000623,吉林敖东,16.4,20.22,81.1078,110.091,35.73,2018-03-12,2.0752,24.13,2018-03-15,0.1237646368,2018-05-11
127005,长证转债,2018-03-12,070783,100.0,000783,长江证券,7.16,7.13,100.4208,121.9,21.39,2018-03-09,0.9042,50.0,2018-03-14,0.1239858672,2018-04-11
